#Release 14.2 - par P.28xd (nt)
#Copyright (c) 1995-2012 Xilinx, Inc.  All rights reserved.

#Sat Oct 13 22:52:03 2012

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       hdmi2usb_map.ncd
#OUTPUT FILE:      hdmi2usb_pad.csv
#PART TYPE:        xc6slx45
#SPEED GRADE:      -3
#PACKAGE:          csg324
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A1,,,GND,,,,,,,,,,,,
A2,pdb<0>,IOB,IO_L2N_0,BIDIR,LVCMOS33,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
A3,pdb<4>,IOB,IO_L4N_0,BIDIR,LVCMOS33,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
A4,pdb<6>,IOB,IO_L5N_0,BIDIR,LVCMOS33,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
A5,,IOBS,IO_L6N_0,UNUSED,,0,,,,,,,,,
A6,TX0_TMDSB<3>,IOBS,IO_L8N_VREF_0,,TMDS_33,0,,,,,,LOCATED,NO,,
A7,TX0_TMDSB<1>,IOBS,IO_L10N_0,,TMDS_33,0,,,,,,LOCATED,NO,,
A8,TX0_TMDSB<2>,IOBS,IO_L33N_0,,TMDS_33,0,,,,,,LOCATED,NO,,
A9,dstb,IOB,IO_L35N_GCLK16_0,INPUT,LVCMOS33,0,,,,NONE,,LOCATED,NO,NONE,
A10,SW<0>,IOB,IO_L37N_GCLK12_0,INPUT,LVCMOS33,0,,,,NONE,,LOCATED,NO,NONE,
A11,,IOBS,IO_L39N_0,UNUSED,,0,,,,,,,,,
A12,,IOBS,IO_L41N_0,UNUSED,,0,,,,,,,,,
A13,,IOBS,IO_L50N_0,UNUSED,,0,,,,,,,,,
A14,,IOBS,IO_L62N_VREF_0,UNUSED,,0,,,,,,,,,
A15,,IOBS,IO_L64N_SCP4_0,UNUSED,,0,,,,,,,,,
A16,,IOBS,IO_L66N_SCP0_0,UNUSED,,0,,,,,,,,,
A17,,,TCK,,,,,,,,,,,,
A18,,,GND,,,,,,,,,,,,
B1,,,VCCAUX,,,,,,,,3.3,,,,
